DATE,Province,Products,Price
1/1/2025,Ontario,Canola (including rapeseed) [113111],$615.39
2/1/2025,Ontario,Canola (including rapeseed) [113111],$575.51
3/1/2025,Ontario,Canola (including rapeseed) [113111],$609.00
4/1/2025,Ontario,Canola (including rapeseed) [113111],$589.85
5/1/2025,Ontario,Canola (including rapeseed) [113111],$612.12
6/1/2025,Ontario,Canola (including rapeseed) [113111],$643.27
7/1/2025,Ontario,Canola (including rapeseed) [113111],$656.78
8/1/2025,Ontario,Canola (including rapeseed) [113111],$684.00
9/1/2025,Ontario,Canola (including rapeseed) [113111],$609.33
10/1/2025,Ontario,Canola (including rapeseed) [113111],$597.23
11/1/2025,Ontario,Canola (including rapeseed) [113111],$590.22
1/1/2025,Saskatchewan,Canola (including rapeseed) [113111],$620.96
2/1/2025,Saskatchewan,Canola (including rapeseed) [113111],$629.16
3/1/2025,Saskatchewan,Canola (including rapeseed) [113111],$627.81
4/1/2025,Saskatchewan,Canola (including rapeseed) [113111],$633.36
5/1/2025,Saskatchewan,Canola (including rapeseed) [113111],$655.12
6/1/2025,Saskatchewan,Canola (including rapeseed) [113111],$667.84
7/1/2025,Saskatchewan,Canola (including rapeseed) [113111],$679.45
8/1/2025,Saskatchewan,Canola (including rapeseed) [113111],$669.44
9/1/2025,Saskatchewan,Canola (including rapeseed) [113111],$636.79
10/1/2025,Saskatchewan,Canola (including rapeseed) [113111],$616.95
11/1/2025,Saskatchewan,Canola (including rapeseed) [113111],$622.17
1/1/2025,Alberta,Canola (including rapeseed) [113111],$608.55
2/1/2025,Alberta,Canola (including rapeseed) [113111],$617.42
3/1/2025,Alberta,Canola (including rapeseed) [113111],$623.46
4/1/2025,Alberta,Canola (including rapeseed) [113111],$630.17
5/1/2025,Alberta,Canola (including rapeseed) [113111],$652.14
6/1/2025,Alberta,Canola (including rapeseed) [113111],$672.24
7/1/2025,Alberta,Canola (including rapeseed) [113111],$682.65
8/1/2025,Alberta,Canola (including rapeseed) [113111],$676.39
9/1/2025,Alberta,Canola (including rapeseed) [113111],$621.92
10/1/2025,Alberta,Canola (including rapeseed) [113111],$609.13
11/1/2025,Alberta,Canola (including rapeseed) [113111],$614.77
